en	zh-Hans	zh-Hant	ja	ko	es	pt	ru	de	fr	it	tr	vi	id	pl	nl	uk	cs	sv	ro
SEGMENT COLOR	笔画颜色	筆畫顏色	セグメントの色	세그먼트 색상	Color del segmento	Cor do segmento	Цвет сегмента	Segmentfarbe	Couleur des segments	Colore dei segmenti	Segment rengi	Màu que	Warna segmen	Kolor segmentu	Segmentkleur	Колір сегмента	Barva segmentu	Segmentfärg	Culoarea segmentului
BACKGROUND COLOR	背景颜色	背景顏色	背景色	배경 색상	Color de fondo	Cor de fundo	Цвет фона	Hintergrundfarbe	Couleur de fond	Colore di sfondo	Arka plan rengi	Màu nền	Warna latar	Kolor tła	Achtergrondkleur	Колір фону	Barva pozadí	Bakgrundsfärg	Culoarea fundalului
DARK	深色	深色	ダーク	어두움	Oscuro	Escuro	Тёмные	Dunkel	Sombre	Scuro	Koyu	Tối	Gelap	Ciemne	Donker	Темні	Tmavé	Mörkt	Închise
LIGHT	浅色	淺色	ライト	밝음	Claro	Claro	Светлые	Hell	Clair	Chiaro	Açık	Sáng	Terang	Jasne	Licht	Світлі	Světlé	Ljust	Deschise
AUDIO	音频	音訊	サウンド	오디오	Audio	Áudio	Звук	Audio	Audio	Audio	Ses	Âm thanh	Audio	Dźwięk	Audio	Звук	Zvuk	Ljud	Audio
MUSIC	音乐	音樂	音楽	음악	Música	Música	Музыка	Musik	Musique	Musica	Müzik	Nhạc	Musik	Muzyka	Muziek	Музика	Hudba	Musik	Muzică
EFFECTS	音效	音效	効果音	효과음	Efectos	Efeitos	Эффекты	Effekte	Effets	Effetti	Efektler	Hiệu ứng	Efek	Efekty	Effecten	Ефекти	Efekty	Effekter	Efecte
LANGUAGE	语言	語言	言語	언어	Idioma	Idioma	Язык	Sprache	Langue	Lingua	Dil	Ngôn ngữ	Bahasa	Język	Taal	Мова	Jazyk	Språk	Limbă
YELLOW	黄色	黃色	イエロー	노랑	Amarillo	Amarelo	Жёлтый	Gelb	Jaune	Giallo	Sarı	Vàng	Kuning	Żółty	Geel	Жовтий	Žlutá	Gul	Galben
RED	红色	紅色	レッド	빨강	Rojo	Vermelho	Красный	Rot	Rouge	Rosso	Kırmızı	Đỏ	Merah	Czerwony	Rood	Червоний	Červená	Röd	Roșu
BLUE	蓝色	藍色	ブルー	파랑	Azul	Azul	Синий	Blau	Bleu	Blu	Mavi	Xanh dương	Biru	Niebieski	Blauw	Синій	Modrá	Blå	Albastru
GREEN	绿色	綠色	グリーン	초록	Verde	Verde	Зелёный	Grün	Vert	Verde	Yeşil	Xanh lá	Hijau	Zielony	Groen	Зелений	Zelená	Grön	Verde
PURPLE	紫色	紫色	パープル	보라	Morado	Roxo	Пурпурный	Lila	Violet	Viola	Mor	Tím	Ungu	Fioletowy	Paars	Пурпуровий	Fialová	Lila	Mov
ORANGE	橙色	橙色	オレンジ	주황	Naranja	Laranja	Оранжевый	Orange	Orange	Arancione	Turuncu	Cam	Oranye	Pomarańczowy	Oranje	Помаранчевий	Oranžová	Orange	Portocaliu
BLACK	黑色	黑色	ブラック	검정	Negro	Preto	Чёрный	Schwarz	Noir	Nero	Siyah	Đen	Hitam	Czarny	Zwart	Чорний	Černá	Svart	Negru
WHITE	白色	白色	ホワイト	흰색	Blanco	Branco	Белый	Weiß	Blanc	Bianco	Beyaz	Trắng	Putih	Biały	Wit	Білий	Bílá	Vit	Alb
SILVER	银色	銀色	シルバー	실버	Plata	Prata	Серебро	Silber	Argent	Argento	Gümüş	Bạc	Perak	Srebro	Zilver	Срібло	Stříbro	Silver	Argint
ARCADE 1V1	1V1 对战	1V1 對戰	1V1 対戦	1V1 대전	Arcade 1V1	Arcade 1V1	Аркада 1 на 1	Arcade 1 gegen 1	Arcade 1 contre 1	Arcade 1v1	1V1 Arcade	Đấu 1v1	Arcade 1V1	Arcade 1v1	Arcade 1v1	Аркада 1 на 1	Arkáda 1v1	Arkad 1v1	Arcade 1v1
SELECT MODE	选择模式	選擇模式	モード選択	모드 선택	Elige modo	Escolhe o modo	Выбор режима	Modus wählen	Choisir le mode	Scegli la modalità	Mod seç	Chọn chế độ	Pilih mode	Wybierz tryb	Kies modus	Обери режим	Vyber režim	Välj läge	Alege modul
EASY	简单	簡單	かんたん	쉬움	Fácil	Fácil	Лёгкий	Leicht	Facile	Facile	Kolay	Dễ	Mudah	Łatwy	Makkelijk	Легкий	Snadné	Lätt	Ușor
MEDIUM	中等	中等	ふつう	보통	Medio	Médio	Средний	Mittel	Moyen	Medio	Orta	Trung bình	Sedang	Średni	Gemiddeld	Середній	Střední	Medel	Mediu
HARD	困难	困難	むずかしい	어려움	Difícil	Difícil	Сложный	Schwer	Difficile	Difficile	Zor	Khó	Sulit	Trudny	Moeilijk	Складний	Těžké	Svår	Greu
RANDOM	随机	隨機	ランダム	랜덤	Aleatorio	Aleatório	Случайный	Zufällig	Aléatoire	Casuale	Rastgele	Ngẫu nhiên	Acak	Losowy	Willekeurig	Випадковий	Náhodné	Slumpmässig	Aleatoriu
MATCH LENGTH	比赛长度	比賽長度	試合の長さ	경기 길이	Duración	Duração	Длина матча	Spiellänge	Durée du match	Durata partita	Maç uzunluğu	Độ dài trận	Panjang laga	Długość meczu	Wedstrijdlengte	Тривалість матчу	Délka zápasu	Matchlängd	Lungimea meciului
ROUNDS	回合	回合	ラウンド	라운드	Rondas	Rondas	Раунды	Runden	Manches	Round	Tur	Vòng	Ronde	Rundy	Rondes	Раунди	Kola	Omgångar	Runde
SINGLE ROUND	单回合	單回合	1ラウンド	단판	Ronda única	Ronda única	Один раунд	Eine Runde	Manche unique	Round singolo	Tek tur	Một vòng	Satu ronde	Jedna runda	Eén ronde	Один раунд	Jedno kolo	En omgång	O singură rundă
BEST OF	五局三胜制	五局三勝制	先取制	다전제	Al mejor de	À melhor de	До побед из	Best of	Au meilleur de	Al meglio di	En iyi	Thắng	Terbaik dari	Do	Best of	До перемог із	Na	Bäst av	Cel mai bun din
WINS	胜	勝	勝	승	victorias	vitórias	побед	Siege	victoires	vittorie	galibiyet	thắng	menang	zwycięstw	overwinningen	перемог	výher	vinster	victorii
ONE ROUND  ·  WINNER TAKES THE MATCH	单回合 · 胜者赢下比赛	單回合 · 勝者贏下比賽	1ラウンド · 勝者が試合を取る	단판 · 이긴 쪽이 경기 승리	Una ronda · quien gana, gana el partido	Uma ronda · quem vence, vence o jogo	Один раунд · победитель забирает матч	Eine Runde · der Sieger gewinnt das Spiel	Une manche · le gagnant remporte le match	Un round · chi vince prende la partita	Tek tur · kazanan maçı alır	Một vòng · ai thắng là thắng trận	Satu ronde · pemenang ambil laga	Jedna runda · zwycięzca bierze mecz	Eén ronde · de winnaar pakt de match	Один раунд · переможець забирає матч	Jedno kolo · vítěz bere zápas	En omgång · vinnaren tar matchen	O rundă · cine câștigă ia meciul
2 DIGITS	两位数	兩位數	2けた	두 자리	2 cifras	2 algarismos	2 цифры	2 Ziffern	2 chiffres	2 cifre	2 basamak	2 chữ số	2 angka	2 cyfry	2 cijfers	2 цифри	2 číslice	2 siffror	2 cifre
3 DIGITS	三位数	三位數	3けた	세 자리	3 cifras	3 algarismos	3 цифры	3 Ziffern	3 chiffres	3 cifre	3 basamak	3 chữ số	3 angka	3 cyfry	3 cijfers	3 цифри	3 číslice	3 siffror	3 cifre
3 NUMBERS - 2 OPERATORS	三个数 · 两个运算符	三個數 · 兩個運算子	3つの数 · 2つの記号	숫자 3개 · 연산자 2개	3 números · 2 operadores	3 números · 2 operadores	3 числа · 2 знака	3 Zahlen · 2 Operatoren	3 nombres · 2 opérateurs	3 numeri · 2 operatori	3 sayı · 2 işlem	3 số · 2 phép tính	3 angka · 2 operator	3 liczby · 2 operatory	3 getallen · 2 operatoren	3 числа · 2 знаки	3 čísla · 2 operátory	3 tal · 2 operatorer	3 numere · 2 operatori
DIFFICULTY PICKED WHEN THE MATCH STARTS	开赛时随机决定难度	開賽時隨機決定難度	試合開始時に難易度が決まる	경기 시작 시 난이도 결정	La dificultad se elige al empezar	A dificuldade é escolhida ao começar	Сложность выбирается в начале матча	Schwierigkeit wird beim Start gewählt	La difficulté est tirée au lancement	La difficoltà si sceglie all'avvio	Zorluk maç başında belirlenir	Độ khó chọn khi trận bắt đầu	Kesulitan dipilih saat laga dimulai	Poziom losowany na starcie meczu	Moeilijkheid wordt bij de start gekozen	Складність обирається на старті матчу	Obtížnost se určí na začátku	Svårighet väljs när matchen startar	Dificultatea se alege la începutul meciului
LOBBY	大厅	大廳	ロビー	로비	Sala	Sala	Лобби	Lobby	Salon	Lobby	Lobi	Sảnh	Lobi	Poczekalnia	Lobby	Лобі	Lobby	Lobby	Lobby
FRIENDS	好友	好友	フレンド	친구	Amigos	Amigos	Друзья	Freunde	Amis	Amici	Arkadaşlar	Bạn bè	Teman	Znajomi	Vrienden	Друзі	Přátelé	Vänner	Prieteni
ONLINE PLAYERS	在线玩家	線上玩家	オンラインのプレイヤー	접속 중인 플레이어	Jugadores en línea	Jogadores online	Игроки в сети	Spieler online	Joueurs en ligne	Giocatori online	Çevrimiçi oyuncular	Người chơi trực tuyến	Pemain daring	Gracze online	Spelers online	Гравці онлайн	Hráči online	Spelare online	Jucători online
ONLINE	在线	線上	オンライン	접속 중	En línea	Online	В сети	Online	En ligne	Online	Çevrimiçi	Trực tuyến	Daring	Online	Online	Онлайн	Online	Online	Online
OFFLINE	离线	離線	オフライン	오프라인	Desconectado	Offline	Не в сети	Offline	Hors ligne	Offline	Çevrimdışı	Ngoại tuyến	Luring	Offline	Offline	Офлайн	Offline	Offline	Offline
SEARCH...	搜索…	搜尋…	検索…	검색…	Buscar...	Procurar...	Поиск...	Suchen...	Rechercher...	Cerca...	Ara...	Tìm...	Cari...	Szukaj...	Zoeken...	Пошук...	Hledat...	Sök...	Caută...
INVITE	邀请	邀請	招待	초대	Invitar	Convidar	Пригласить	Einladen	Inviter	Invita	Davet et	Mời	Undang	Zaproś	Uitnodigen	Запросити	Pozvat	Bjud in	Invită
INVITE PLAYER	邀请玩家	邀請玩家	プレイヤーを招待	플레이어 초대	Invitar jugador	Convidar jogador	Пригласить игрока	Spieler einladen	Inviter un joueur	Invita un giocatore	Oyuncu davet et	Mời người chơi	Undang pemain	Zaproś gracza	Speler uitnodigen	Запросити гравця	Pozvat hráče	Bjud in spelare	Invită jucător
RANDOM BATTLE	随机对战	隨機對戰	ランダム対戦	랜덤 대전	Combate aleatorio	Batalha aleatória	Случайный бой	Zufallsduell	Duel aléatoire	Sfida casuale	Rastgele maç	Đấu ngẫu nhiên	Tanding acak	Losowa walka	Willekeurig duel	Випадковий бій	Náhodný souboj	Slumpmatch	Luptă aleatorie
SEARCHING...	正在寻找对手…	正在尋找對手…	対戦相手を探しています…	상대를 찾는 중…	Buscando...	À procura...	Идёт поиск...	Suche läuft...	Recherche...	Ricerca in corso...	Aranıyor...	Đang tìm...	Mencari...	Szukanie...	Zoeken...	Пошук...	Hledání...	Söker...	Se caută...
OPPONENT FOUND!	找到对手！	找到對手！	相手が見つかりました！	상대를 찾았습니다!	¡Rival encontrado!	Adversário encontrado!	Соперник найден!	Gegner gefunden!	Adversaire trouvé !	Avversario trovato!	Rakip bulundu!	Đã tìm thấy đối thủ!	Lawan ditemukan!	Znaleziono rywala!	Tegenstander gevonden!	Суперника знайдено!	Soupeř nalezen!	Motståndare hittad!	Adversar găsit!
WAITING FOR OPPONENT...	等待对手…	等待對手…	相手を待っています…	상대를 기다리는 중…	Esperando al rival...	À espera do adversário...	Ожидание соперника...	Warte auf Gegner...	En attente de l'adversaire...	In attesa dell'avversario...	Rakip bekleniyor...	Đang chờ đối thủ...	Menunggu lawan...	Czekanie na rywala...	Wachten op tegenstander...	Очікування суперника...	Čekání na soupeře...	Väntar på motståndare...	Se așteaptă adversarul...
JOINING MATCH...	正在加入比赛…	正在加入比賽…	試合に参加中…	경기 참가 중…	Entrando al combate...	A entrar no jogo...	Подключение к матчу...	Match wird betreten...	Connexion au match...	Ingresso nella partita...	Maça katılınıyor...	Đang vào trận...	Bergabung ke laga...	Dołączanie do meczu...	Match betreden...	Приєднання до матчу...	Připojování k zápasu...	Går med i matchen...	Se intră în meci...
MATCH INVITE	比赛邀请	比賽邀請	対戦の招待	경기 초대	Invitación a jugar	Convite de jogo	Приглашение на матч	Spieleinladung	Invitation à jouer	Invito alla partita	Maç daveti	Lời mời đấu	Undangan laga	Zaproszenie do meczu	Matchuitnodiging	Запрошення на матч	Pozvánka na zápas	Matchinbjudan	Invitație la meci
ACCEPT	接受	接受	承諾	수락	Aceptar	Aceitar	Принять	Annehmen	Accepter	Accetta	Kabul et	Chấp nhận	Terima	Akceptuj	Accepteren	Прийняти	Přijmout	Acceptera	Acceptă
DECLINE	拒绝	拒絕	辞退	거절	Rechazar	Recusar	Отклонить	Ablehnen	Refuser	Rifiuta	Reddet	Từ chối	Tolak	Odrzuć	Weigeren	Відхилити	Odmítnout	Avböj	Refuză
INVITE DECLINED	邀请被拒绝	邀請被拒絕	招待は断られました	초대가 거절되었습니다	Invitación rechazada	Convite recusado	Приглашение отклонено	Einladung abgelehnt	Invitation refusée	Invito rifiutato	Davet reddedildi	Lời mời bị từ chối	Undangan ditolak	Zaproszenie odrzucone	Uitnodiging geweigerd	Запрошення відхилено	Pozvánka odmítnuta	Inbjudan avböjd	Invitație refuzată
NO RESPONSE	没有回应	沒有回應	応答なし	응답 없음	Sin respuesta	Sem resposta	Нет ответа	Keine Antwort	Pas de réponse	Nessuna risposta	Yanıt yok	Không phản hồi	Tidak ada respons	Brak odpowiedzi	Geen reactie	Немає відповіді	Bez odpovědi	Inget svar	Fără răspuns
WAITING FOR RESPONSE...	等待回应…	等待回應…	応答を待っています…	응답을 기다리는 중…	Esperando respuesta...	À espera de resposta...	Ожидание ответа...	Warte auf Antwort...	En attente de réponse...	In attesa di risposta...	Yanıt bekleniyor...	Đang chờ phản hồi...	Menunggu respons...	Czekanie na odpowiedź...	Wachten op reactie...	Очікування відповіді...	Čekání na odpověď...	Väntar på svar...	Se așteaptă răspunsul...
OPPONENT DISCONNECTED	对手已断开连接	對手已斷線	相手が切断しました	상대의 연결이 끊겼습니다	El rival se ha desconectado	O adversário desligou-se	Соперник отключился	Gegner hat die Verbindung verloren	L'adversaire s'est déconnecté	L'avversario si è disconnesso	Rakip bağlantısı koptu	Đối thủ đã mất kết nối	Lawan terputus	Rywal się rozłączył	Tegenstander is losgekoppeld	Суперник від'єднався	Soupeř se odpojil	Motståndaren kopplade från	Adversarul s-a deconectat
OPPONENT LEFT	对手已离开	對手已離開	相手が退出しました	상대가 나갔습니다	El rival se ha ido	O adversário saiu	Соперник вышел	Gegner hat verlassen	L'adversaire a quitté	L'avversario ha abbandonato	Rakip ayrıldı	Đối thủ đã rời đi	Lawan keluar	Rywal wyszedł	Tegenstander is weg	Суперник вийшов	Soupeř odešel	Motståndaren lämnade	Adversarul a plecat
No opponents available	暂时没有可匹配的对手	暫時沒有可匹配的對手	対戦できる相手がいません	가능한 상대가 없습니다	No hay rivales disponibles	Não há adversários disponíveis	Нет доступных соперников	Keine Gegner verfügbar	Aucun adversaire disponible	Nessun avversario disponibile	Uygun rakip yok	Không có đối thủ nào	Tidak ada lawan tersedia	Brak dostępnych rywali	Geen tegenstanders beschikbaar	Немає доступних суперників	Žádní soupeři k dispozici	Inga motståndare tillgängliga	Nu există adversari disponibili
UNAVAILABLE	不可用	不可用	利用できません	사용 불가	No disponible	Indisponível	Недоступно	Nicht verfügbar	Indisponible	Non disponibile	Kullanılamıyor	Không khả dụng	Tidak tersedia	Niedostępne	Niet beschikbaar	Недоступно	Nedostupné	Otillgänglig	Indisponibil
REMATCH	再来一局	再來一局	再戦	재대결	Revancha	Revanche	Реванш	Revanche	Revanche	Rivincita	Rövanş	Tái đấu	Tanding ulang	Rewanż	Revanche	Реванш	Odveta	Revansch	Revanșă
REMATCH...	等待再战…	等待再戰…	再戦を待っています…	재대결 대기 중…	Revancha...	Revanche...	Реванш...	Revanche...	Revanche...	Rivincita...	Rövanş...	Tái đấu...	Tanding ulang...	Rewanż...	Revanche...	Реванш...	Odveta...	Revansch...	Revanșă...
RETURN TO LOBBY	返回大厅	返回大廳	ロビーへ戻る	로비로	Volver a la sala	Voltar à sala	В лобби	Zurück zum Lobby	Retour au salon	Torna alla lobby	Lobiye dön	Về sảnh	Kembali ke lobi	Wróć do poczekalni	Terug naar lobby	До лобі	Zpět do lobby	Till lobbyn	Înapoi în lobby
VS	对战	對戰	VS	VS	VS	VS	против	gegen	VS	VS	VS	VS	VS	VS	VS	проти	VS	VS	VS
VS OPPONENT	对阵对手	對陣對手	対戦相手	상대와 대결	Contra el rival	Contra o adversário	Против соперника	Gegen den Gegner	Contre l'adversaire	Contro l'avversario	Rakibe karşı	Đối đầu	Lawan	Przeciw rywalowi	Tegen tegenstander	Проти суперника	Proti soupeři	Mot motståndaren	Contra adversarului
YOU	你	你	あなた	나	Tú	Tu	Ты	Du	Toi	Tu	Sen	Bạn	Kamu	Ty	Jij	Ти	Ty	Du	Tu
THEM	对手	對手	相手	상대	Rival	Adversário	Соперник	Gegner	Adversaire	Avversario	Rakip	Đối thủ	Lawan	Rywal	Tegenstander	Суперник	Soupeř	Motståndare	Adversar
OPPONENT	对手	對手	相手	상대	Rival	Adversário	Соперник	Gegner	Adversaire	Avversario	Rakip	Đối thủ	Lawan	Rywal	Tegenstander	Суперник	Soupeř	Motståndare	Adversar
PLAYER	玩家	玩家	プレイヤー	플레이어	Jugador	Jogador	Игрок	Spieler	Joueur	Giocatore	Oyuncu	Người chơi	Pemain	Gracz	Speler	Гравець	Hráč	Spelare	Jucător
CAREER	生涯	生涯	通算	통산	Carrera	Carreira	Карьера	Karriere	Carrière	Carriera	Kariyer	Sự nghiệp	Karier	Kariera	Carrière	Кар'єра	Kariéra	Karriär	Carieră
SEASON	赛季	賽季	シーズン	시즌	Temporada	Época	Сезон	Saison	Saison	Stagione	Sezon	Mùa giải	Musim	Sezon	Seizoen	Сезон	Sezóna	Säsong	Sezon
GLOBAL	全球	全球	世界	글로벌	Global	Global	Мир	Global	Monde	Globale	Küresel	Toàn cầu	Global	Świat	Wereld	Світ	Svět	Global	Global
COUNTRY	国家	國家	国内	국가	País	País	Страна	Land	Pays	Paese	Ülke	Quốc gia	Negara	Kraj	Land	Країна	Země	Land	Țară
DAY STREAK	连续天数	連續天數	連続日数	연속 출석	Racha de días	Sequência de dias	Дней подряд	Tage in Folge	Jours d'affilée	Giorni di fila	Gün serisi	Chuỗi ngày	Rentetan hari	Dni z rzędu	Dagen op rij	Днів поспіль	Dní v řadě	Dagar i rad	Zile la rând
IN A ROW!	连胜！	連勝！	連続！	연속!	¡seguidas!	seguidas!	подряд!	in Folge!	d'affilée !	di fila!	üst üste!	liên tiếp!	beruntun!	z rzędu!	op rij!	поспіль!	v řadě!	i rad!	la rând!
BRONZE	青铜	青銅	ブロンズ	브론즈	Bronce	Bronze	Бронза	Bronze	Bronze	Bronzo	Bronz	Đồng	Perunggu	Brąz	Brons	Бронза	Bronz	Brons	Bronz
GOLD	黄金	黃金	ゴールド	골드	Oro	Ouro	Золото	Gold	Or	Oro	Altın	Vàng	Emas	Złoto	Goud	Золото	Zlato	Guld	Aur
PLATINUM	铂金	白金	プラチナ	플래티넘	Platino	Platina	Платина	Platin	Platine	Platino	Platin	Bạch kim	Platinum	Platyna	Platina	Платина	Platina	Platina	Platină
DIAMOND	钻石	鑽石	ダイヤ	다이아	Diamante	Diamante	Алмаз	Diamant	Diamant	Diamante	Elmas	Kim cương	Berlian	Diament	Diamant	Діамант	Diamant	Diamant	Diamant
